Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
629;;JAWORZNICKI DZWON;K.Bsd-01.18;20.00;11.00;11.00;0.00;Szczegóły
630;;JEDNOOSOBOWY SCHRON;K.Bs-02.40;2.50;0.00;0.00;0.00;Szczegóły GPS
631;;JOPKOWA SZCZELINA;K.Bmk-02.08;5.00;5.00;5.00;0.00;Szczegóły GPS
632;;JUHASKA SZCZELINA;K.G-01.14;2.00;0.00;0.00;0.00;Szczegóły GPS
633;;KAMESZNICZAŃSKO ZIEBRACZ 1;K.Bs-02.226;2.50;0.00;0.00;0.00;Szczegóły
634;;KAMESZNICZAŃSKO ZIEBRACZ 2;K.Bs-02.227;10.50;0.00;0.00;0.00;Szczegóły
635;;KAMESZNICZAŃSKO ZIEBRACZ 3;K.Bs-02.228;10.00;0.00;0.00;0.00;Szczegóły
636;;KAMESZNICZAŃSKO ZIEBRACZ 4;K.Bs-02.229;2.50;0.00;0.00;0.00;Szczegóły
637;;KAMESZNICZAŃSKO ZIEBRACZ 5;K.Bs-02.230;2.00;0.00;0.00;0.00;Szczegóły
638;;KAMESZNICZAŃSKO ZIEBRACZ 6;K.Bs-02.231;2.50;0.00;0.00;0.00;Szczegóły
639;;KAMIENNA STUDNIA POD ZŁOTĄ GRAPĄ;K.Bż-05.63;2.50;2.50;2.50;0.00;Szczegóły
640;;KAMIENNY SCHRON;K.Pr-01.43;2.00;1.00;1.00;0.00;Szczegóły
641;;KAPI OKAP;K.Pr-02.21;4.00;1.00;0.00;1.00;Szczegóły GPS
642;;KLATKA Z OKIENKIEM NA MURONCE;K.Bs-02.108;3.00;0.00;0.00;0.00;Szczegóły GPS
643;;KOCIA SZCZELINA;K.Pr-01.34 N;4.00;0.00;0.00;0.00;Szczegóły
644;;KOCURKOWA JAMA;K.Bsd-01.10;4.00;0.00;0.00;0.00;Szczegóły
645;;KOLEBA BANIORZY (SCHRONISKO L-49);K.Bn-09.29;8.00;0.00;0.00;0.00;Szczegóły
646;;KOLEBA BIWAKOWA;K.Pd-01.38;3.00;1.00;0.00;1.00;Szczegóły
647;;KOLEBA POD BORSUKIEM;K.Pc-01.17;7.00;0.00;0.00;0.00;Szczegóły
648;;KOLEBA POD GŁAZEM;K.Bmk-03.04;4.00;0.00;0.00;0.00;Szczegóły
649;;KOLEBA SIEDMIU OS;K.Bn-07.21;2.00;1.00;0.00;1.00;Szczegóły
650;;KOLEBA W MAŁYM GIBASOWYM GRONIU;K.Bm-02.27;2.50;0.40;0.00;0.00;Szczegóły GPS
651;;KOLEBA WĘDKARZY;K.Pr-01.31;3.00;0.00;0.00;0.00;Szczegóły
652;;KOLEBA Z WIDOKIEM;K.Pr-01.27;2.00;0.00;0.00;0.00;Szczegóły
653;;KOMAROWA SZCZELINA;K.Pst-02.06;2.00;0.00;0.00;0.00;Szczegóły
654;;KOMIN W DIABELSKIEJ PRZEPAŚCI;K.Pst-02.07;8.00;6.50;0.00;6.50;Szczegóły
655;;KOMINEK W SKALE Z KRZYŻEM;K.Pc-01.07;7.00;5.00;0.00;0.00;Szczegóły
656;;KORYTARZ DO STUDNI;K.Pd-01.22;4.00;0.00;0.00;0.00;Szczegóły
657;;KRAKOWSKA STUDNIA;K.Bn-09.69 X;10.00;3.50;3.50;0.00;Szczegóły
658;;KROWI KOMIN;K.Pd-01.47;9.50;6.50;0.00;6.50;Szczegóły
659;;KRUCHA SZCZELINA;K.Bsz-01.04;12.50;4.00;4.00;0.00;Szczegóły
660;;KRUCHE SCHRONISKO W OKRĄGLICY;K.Bż-05.20;4.00;0.00;0.00;0.00;Szczegóły GPS
661;;KRUCHY SCHRON;K.Bż-04.02;4.00;0.00;0.00;0.00;Szczegóły GPS
662;;KRYPTA;K.Bs-03.66;2.00;1.50;1.50;0.00;Szczegóły GPS
663;;KUDŁOŃSKA KOLEBA;K.G-01.04;5.00;0.00;0.00;0.00;Szczegóły
664;;KŻ 1 W OKRĄGLICY;K.Bż-05.08;2.00;0.00;0.00;0.00;Szczegóły GPS
665;;LATOSZYŃSKA DZIURA;K.Pst-01.09 N;5.50;1.70;0.00;1.70;Szczegóły
666;;LEPKA STUDNIA;K.Bm-02.34;15.00;3.80;3.80;0.00;Szczegóły
667;;LEŚNA STUDNIA;K.Bn-07.10;20.00;9.00;9.00;0.00;Szczegóły
668;;LISIA DZIURA W PINDELÓWCE;K.Bż-03.10 X;16.00;2.50;2.50;0.00;Szczegóły GPS
669;;LISIA DZIURA W PINDELÓWCE;K.Bmk-02.22;16.00;2.50;2.50;0.00;Szczegóły GPS
670;;LISIA JAMA;K.Bn-12.03;11.00;2.00;0.00;0.00;Szczegóły
671;;LISIA JAMA;K.Bsd-02.02;4.00;2.00;2.00;0.00;Szczegóły
672;;LISIA JAMA;K.Bmk-02.11;3.50;0.00;0.50;0.00;Szczegóły
673;;LISIA JAMA NAD JASTRZĘBIM I;K.Bż-05.48;2.00;0.70;0.00;0.00;Szczegóły
674;;LISIA JAMA W MALINOWSKIM GRONIU;K.Bmk-02.20;3.00;2.00;2.00;0.00;Szczegóły
675;;LISIA KOLEBA;K.Bn-07.36;8.00;1.50;0.00;1.50;Szczegóły
676;;LISIA NORA;K.Bmk-01.02;5.50;0.00;0.00;0.00;Szczegóły
677;;LISIA NORA;K.Bw-02.19;2.00;0.00;0.00;0.00;Szczegóły GPS
678;;LISIE NORY;K.Bs-02.193;2.00;0.00;0.00;0.00;Szczegóły GPS
679;;LODOWA PIETRASZKOWA;K.Bs-03.117;5.20;1.90;1.20;0.70;Szczegóły
680;;LODOWA SZCZELINA;K.Bn-09.15;166.00;11.50;10.50;1.00;Szczegóły
681;;LOŻA PIĄTKI;K.Bs-03.215;2.30;0.00;0.00;0.00;Szczegóły GPS
682;;LUBOŃSKA KOLEBA;K.Bw-01.16;2.50;0.00;0.00;0.00;Szczegóły GPS
683;;ŁOPIEŃSKA KOLEBA;K.Bw-02.17;2.00;0.00;0.00;0.00;Szczegóły GPS
684;;ŁOSIAŃSKA DZIURA;K.Bsd-02.40;3.00;0.00;0.00;0.00;Szczegóły
685;;ŁOSIAŃSKI SCHRON;K.Bsd-02.62;2.00;0.00;0.00;0.00;Szczegóły
686;;ŁUPANY OKAP;K.Pd-01.33;5.00;2.00;2.00;0.00;Szczegóły
687;;ŁUPKOWY KORYTARZ;K.Bs-04.26 S;2.50;0.00;0.00;0.00;Szczegóły GPS
688;;MALINOWY SCHRON;K.Pr-01.30;4.00;0.00;0.00;0.00;Szczegóły
689;;MAŁA DIABLA DZIURA;K.Bn-09.42;26.00;6.00;6.00;0.00;Szczegóły
690;;MAŁA JASKINIA W SKAŁCE;K.Bż-03.04;8.00;0.00;0.00;0.00;Szczegóły GPS
691;;MAŁA KOCURKOWA JAMA;K.Bsd-01.34;2.00;0.00;0.00;0.00;Szczegóły
692;;MAŁA KOLEBA;K.Bn-11.11;2.80;1.80;0.00;1.80;Szczegóły
693;;MAŁA NORA NA MURONCE;K.Bs-02.104;4.50;0.00;0.00;0.00;Szczegóły GPS
